begin;end;decade;event
1901;1901;1900;Transmission of Transatlantic Radio Signals
1904;1905;1900;Russo-Japanese War
1905;1907;1900;Russian Revolution of 1905
1914;1918;1910;World War I
1917;1917;1910;Russian Revolution
1922;1952;1920,1930,1940,1950;Stalin
1922;1943;1920,1930,1940;Mussolini
1924;1924;1920;Lenin's Death
1924;1941;1920,1930,1940;Development of Electronic Television
1929;1939;1930;Great Depression
1930;1940;1930,1940;Nuclear Research Breaktroughs
1934;1945;1930,194;Hitler
1936;1975;1930,1940,1950,1960,1970;Franco
1936;1939;1930;Spanish Civil War
1936;1938;1930;Great Purge in Russia
1937;1937;1930;"Westinghouse ""Atom Smasher"""
1939;1945;1940;World War II
1939;1939;1940;Atanasoff–Berry Computer
1939;1945;1940;Code-breaking at Bletchley Park
1940;1945;1940;MIT Radiation Laboratory
1941;1941;1940;Attack on Pearl Harbor
1941;1945;1940;The Pacific War
1941;1945;1940;The Holocaust
1941;1941;1940;Opana Radar Site
1942;1946;1940;Manhattan Project
1944;1944;1940;Operation Overlord
1945;1945;1940;Nuclear Attack on Japan
1945;1946;1940;Nuremberg Trials
1945;1945;1940;Founding of the UN
1946;1954;1940,1950;First Indochina War
1946;1946;1940;ENIAC
1947;1991;1940,1950,1960,1970,1980;The Cold War
1948;1951;1950;Marshall Plan
1950;1953;1950;Korean War
1950;1969;1950,1960;Electronic Technology for Space Rocket Launches
1951;1951;1950;Manufacture of Transistors
1951;1951;1950;Experimental Breeder Reactor I
1952;1955;1950;Hydrogen Bomb Tests in Russia and the USA
1955;1975;1950,1960,1970;Vietnam War
1955;1975;1950,1960,1970;The Space Race
1957;1958;1950;First Wearable Cardiac Pacemaker
1958;1959;1950;First Semiconductor Integrated Circuit (IC)
1961;1964;1960;First Optical Fiber Laser and Amplifier
1962;1962;1960;Cuban Missile Crisis
1962;1962;1960;Alouette-ISIS Satellite Program
1963;1963;1960;NAIC/Arecibo Radiotelescope
1968;1968;1960;CERN
1969;1969;1960,1970;ARPANET
1970;2020;1970,1980,1990,2000,2010,2020;Information Age
1989;1991;1990;End of the USSR
