PPN	dataProvider	format	identifier	isShownAt	object	provider	publisher	relation	rights	source	subject	title	type
PPN746963351	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	image/jpeg	http://resolver.staatsbibliothek-berlin.de/SBB0000C29500090000	http://resolver.staatsbibliothek-berlin.de/SBB0000C29500090000	http://digital.staatsbibliothek-berlin.de/europeana/PPN746963351/00000001.tif	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	Staatsbibliothek zu Berlin – Preußischer Kulturbesitz, Germany	Heimatgruß  für die evang. Kirchengemeinde Freistett-Neufreistett. Kehl  Berlin ; 9.1915	Open Access	Heimatgruß. Berlin	Krieg 1914 1918	Heimatgruß	Volume
PPN729872947	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	image/jpeg	http://resolver.staatsbibliothek-berlin.de/SBB0000ABA200000000	http://resolver.staatsbibliothek-berlin.de/SBB0000ABA200000000	http://digital.staatsbibliothek-berlin.de/europeana/PPN729872947/00000003.tif	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	Appelhans	None	Open Access	Pfeifer, Hans: Die Enteignung der Kirchenglocken im Herzogtum Braunschweig im Kriegsjahre 1917  ein Merkblatt. Braunschweig  Berlin	Krieg 1914 1918	Die Enteignung der Kirchenglocken im Herzogtum Braunschweig im Kriegsjahre 1917	Monograph
PPN755400623	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	image/jpeg	http://resolver.staatsbibliothek-berlin.de/SBB0000E78E00000000	http://resolver.staatsbibliothek-berlin.de/SBB0000E78E00000000	http://digital.staatsbibliothek-berlin.de/europeana/PPN755400623/00000001.tif	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	Eulitz  Staatsbibliothek zu Berlin – Preußischer Kulturbesitz, Germany	Niederhausen, Ernst: Der Weltkrieg  eine Sammlung belehrender Jugendschriften. Lissa i.P.  Berlin ; H. 3	Open Access	Niederhausen, Ernst: Nach Belgien hinein. Lissa i. P.  Berlin	Krieg 1914 1918	Nach Belgien hinein	Volume
PPN729278220	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	image/jpeg	http://resolver.staatsbibliothek-berlin.de/SBB0000A9C300000000	http://resolver.staatsbibliothek-berlin.de/SBB0000A9C300000000	http://digital.staatsbibliothek-berlin.de/europeana/PPN729278220/00000003.tif	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	Stähle & Friedel	None	Open Access	Eine Bilderreihe aus den Kampfgebieten der 25. Reserve-Division 1914-1916. Stuttgart  Berlin	Krieg 1914 1918	Eine Bilderreihe aus den Kampfgebieten der 25. Reserve-Division 1914-1916	Monograph
PPN755882792	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	image/jpeg	http://resolver.staatsbibliothek-berlin.de/SBB0000E94E00000000	http://resolver.staatsbibliothek-berlin.de/SBB0000E94E00000000	http://digital.staatsbibliothek-berlin.de/europeana/PPN755882792/00000001.tif	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	None	None	Open Access	Skizze der Pflanzung Mitwero. S.l.  Berlin	Krieg 1914 1918	Skizze der Pflanzung Mitwero	Monograph
PPN730241890	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	image/jpeg	http://resolver.staatsbibliothek-berlin.de/SBB0000ACFE00000000	http://resolver.staatsbibliothek-berlin.de/SBB0000ACFE00000000	http://digital.staatsbibliothek-berlin.de/europeana/PPN730241890/00000005.tif	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	Heymann	None	Open Access	Zur Theorie und Praxis der Kriegshinterbliebenenfürsorge. Berlin  Berlin	Krieg 1914 1918	Zur Theorie und Praxis der Kriegshinterbliebenenfürsorge	Monograph
PPN749841516	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	image/jpeg	http://resolver.staatsbibliothek-berlin.de/SBB0000D1D200480000	http://resolver.staatsbibliothek-berlin.de/SBB0000D1D200480000	http://digital.staatsbibliothek-berlin.de/europeana/PPN749841516/00000001.tif	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	Staatsbibliothek zu Berlin – Preußischer Kulturbesitz, Germany	"Nachrichtenblatt vom  für die Kameraden im Kampf zwischen Somme u. Oise aus der ""Stafette in Champagne und Argonnen"". [s. l.] @]  Berlin ; 73.1918"	Open Access	Nachrichtenblatt vom. Berlin	Krieg 1914 1918	Nachrichtenblatt vom	Volume
PPN767238915	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	image/jpeg	http://resolver.staatsbibliothek-berlin.de/SBB0000F35300000000	http://resolver.staatsbibliothek-berlin.de/SBB0000F35300000000	http://digital.staatsbibliothek-berlin.de/europeana/PPN767238915/00000001.tif	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	None	None	Open Access	Es geht ums Ganze  plärren sie jetzt, die Herren hinten im Quartier .... Paris  Berlin	Krieg 1914 1918	Es geht ums Ganze	Monograph
PPN675818028	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	image/jpeg	http://resolver.staatsbibliothek-berlin.de/SBB00006B2200000000	http://resolver.staatsbibliothek-berlin.de/SBB00006B2200000000	http://digital.staatsbibliothek-berlin.de/europeana/PPN675818028/00000003.tif	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	Hirschwald	None	Open Access	Körte, Werner: Ueber die Versorgung unserer Verwundeten im Felde  Vortrag, gehalten am 11. April 1915 im Saale des Abgeordnetenhauses. Berlin  Berlin	Krieg 1914 1918	Ueber die Versorgung unserer Verwundeten im Felde	Monograph
PPN767126394	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	image/jpeg	http://resolver.staatsbibliothek-berlin.de/SBB0000F2A800000000	http://resolver.staatsbibliothek-berlin.de/SBB0000F2A800000000	http://digital.staatsbibliothek-berlin.de/europeana/PPN767126394/00000001.tif	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	None	None	Open Access	An Die Deutschen Soldaten  Italien hat jetzt auch das Schwert für die gerechte Sache ergriffen .... Paris  Berlin	Krieg 1914 1918	An Die Deutschen Soldaten	Monograph
PPN767840070	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	image/jpeg	http://resolver.staatsbibliothek-berlin.de/SBB0000F44000000000	http://resolver.staatsbibliothek-berlin.de/SBB0000F44000000000	http://digital.staatsbibliothek-berlin.de/europeana/PPN767840070/00000001.tif	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	None	None	Open Access	Beethoven, Ludwig van: Orchester Vortrag am Dienstag, den 9. Juli 1918 im Offiziersspeisesaal vorm. 10 Uhr. Leitung: Dr. Vogt. Sinfonie No. 9 Werk 125 Ludwig van Beethoven. [Kurume]  Berlin	Krieg 1914 1918	Orchester Vortrag am Dienstag, den 9. Juli 1918 im Offiziersspeisesaal vorm. 10 Uhr. Leitung: Dr. Vogt. Sinfonie No. 9 Werk 125 Ludwig van Beethoven	Monograph
PPN767500903	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	image/jpeg	http://resolver.staatsbibliothek-berlin.de/SBB0000F3E200000000	http://resolver.staatsbibliothek-berlin.de/SBB0000F3E200000000	http://digital.staatsbibliothek-berlin.de/europeana/PPN767500903/00000001.tif	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	None	None	Open Access	Deutsche Kriegsgefangene bei der Heuernte. Paris  Berlin	Krieg 1914 1918	Deutsche Kriegsgefangene bei der Heuernte	Monograph
PPN719074746	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	image/jpeg	http://resolver.staatsbibliothek-berlin.de/SBB000093B700000000	http://resolver.staatsbibliothek-berlin.de/SBB000093B700000000	http://digital.staatsbibliothek-berlin.de/europeana/PPN719074746/00000003.tif	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	Hans Sachs-Verlag	None	Open Access	Stromer von Reichenbach, Friedrich: Deutsche, verzaget nicht!  eine geschichtsphilosophische Prophezeiung zum Weltkrieg. München  Berlin	Krieg 1914 1918	Deutsche, verzaget nicht!	Monograph
PPN767490347	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	image/jpeg	http://resolver.staatsbibliothek-berlin.de/SBB0000F3D200000000	http://resolver.staatsbibliothek-berlin.de/SBB0000F3D200000000	http://digital.staatsbibliothek-berlin.de/europeana/PPN767490347/00000001.tif	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	None	None	Open Access	Die Amerikanische Hilfe  1,500,000 (eine Million fünf mal hunderttausend) amerikanische Soldaten stehen in Frankreich .... New York  Druckort- Paris  Berlin	Krieg 1914 1918	Die Amerikanische Hilfe	Monograph
PPN768160669	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	image/jpeg	http://resolver.staatsbibliothek-berlin.de/SBB0000F57300000000	http://resolver.staatsbibliothek-berlin.de/SBB0000F57300000000	http://digital.staatsbibliothek-berlin.de/europeana/PPN768160669/00000001.tif	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	None	None	Open Access	Adler, Friedrich  Reichpietsch, Max  Sachse, Willi Richard  Liebknecht, Karl: Sie töten den Geist nicht, ihr Brüder!  Fritz Adler (vor dem österreichischen Ausnahmegericht). Paris  Berlin	Krieg 1914 1918	Sie töten den Geist nicht, ihr Brüder!	Monograph
PPN717303152	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	image/jpeg	http://resolver.staatsbibliothek-berlin.de/SBB00008B6E00000000	http://resolver.staatsbibliothek-berlin.de/SBB00008B6E00000000	http://digital.staatsbibliothek-berlin.de/europeana/PPN717303152/00000003.tif	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	Mignon-Verlag	None	Open Access	Auf Kundschaft in Namur. Dresden  Berlin	Krieg 1914 1918	Auf Kundschaft in Namur	Monograph
PPN770465870	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	image/jpeg	http://resolver.staatsbibliothek-berlin.de/SBB0000F88800090000	http://resolver.staatsbibliothek-berlin.de/SBB0000F88800090000	http://digital.staatsbibliothek-berlin.de/europeana/PPN770465870/00000001.tif	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	Staatsbibliothek zu Berlin – Preußischer Kulturbesitz, Germany	Heimatgrüße aus den Kirchspielen Obersuhl, Heringen, Philippsthal. Gerstungen  Berlin ; 9.1915	Open Access	Heimatgrüße aus den Kirchspielen Obersuhl, Heringen, Philippsthal. Berlin	Krieg 1914 1918	Heimatgrüße aus den Kirchspielen Obersuhl, Heringen, Philippsthal	Volume
PPN726783323	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	image/jpeg	http://resolver.staatsbibliothek-berlin.de/SBB0000A36E00000000	http://resolver.staatsbibliothek-berlin.de/SBB0000A36E00000000	http://digital.staatsbibliothek-berlin.de/europeana/PPN726783323/00000001.tif	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	Meißner, Richter & Co.	None	Open Access	Kleiner, Hermann: Getreidewirtschaft im Erntejahr 1917/18. Berlin  Berlin	Krieg 1914 1918	Getreidewirtschaft im Erntejahr 1917/18	Monograph
