Name	Year	Decade	Abilities	AbilitiesCount	Partnerships	PartnershipsCount	URL	ImageURL	localFilePath	NameCaps	PartnershipsCaps	AbilitiesCaps
Abigail Brand	2004	2000	Pyrokinesis	1	Beast	1	https://en.wikipedia.org/wiki/Abigail_Brand	https://upload.wikimedia.org/wikipedia/en/thumb/c/cb/AbigailBrand.png/250px-AbigailBrand.png	./img.marvel_chars/0.png	ABIGAIL BRAND	BEAST	PYROKINESIS
Abyss	1997	1990	Dimensional Form,Dimensional transportation,Shapeshifting,Empathy	4		0	https://en.wikipedia.org/wiki/Abyss_(comics)	https://None	N/A	ABYSS		DIMENSIONAL FORM,DIMENSIONAL TRANSPORTATION,SHAPESHIFTING,EMPATHY
Access	1996	1990	Cross-dimensional awareness,Dimensional transportation,Merge,Time travel	4		0	https://en.wikipedia.org/wiki/Access_(comics)	https://upload.wikimedia.org/wikipedia/en/8/8c/DCM_AllAccess.jpg	./img.marvel_chars/2.jpg	ACCESS		CROSS-DIMENSIONAL AWARENESS,DIMENSIONAL TRANSPORTATION,MERGE,TIME TRAVEL
Adept	1986	1980	Hyper-invention/ hyper-intelligence,Chemical mimicry/ creation,Enhanced strength	3		0	https://en.wikipedia.org/wiki/Adept_(comics)	https://upload.wikimedia.org/wikipedia/en/f/f4/Adept_Morituri.jpg	./img.marvel_chars/3.jpg	ADEPT		HYPER-INVENTION/ HYPER-INTELLIGENCE,CHEMICAL MIMICRY/ CREATION,ENHANCED STRENGTH
Aegis	1999	1990	Aegis breastplate grants:,energy blasts,energy conversion,force field generation	4		0	https://en.wikipedia.org/wiki/Aegis_(comics)	https://upload.wikimedia.org/wikipedia/en/thumb/0/05/New_Warriors_1_%281999%29.jpg/250px-New_Warriors_1_%281999%29.jpg	./img.marvel_chars/4.jpg	AEGIS		AEGIS BREASTPLATE GRANTS:,ENERGY BLASTS,ENERGY CONVERSION,FORCE FIELD GENERATION
Agent X	2002	2000	Regenerative  healing factor,Superhuman ambidexterity,agility,speed,reflexes&amp,reactions,coordination,endurance,Expert marksman,Subconscious telepathic blocking	10		0	https://en.wikipedia.org/wiki/Agent_X_(Marvel_Comics)	https://upload.wikimedia.org/wikipedia/en/a/a9/Agent_X_03_Udon_Studios.jpg	./img.marvel_chars/5.jpg	AGENT X		REGENERATIVE  HEALING FACTOR,SUPERHUMAN AMBIDEXTERITY,AGILITY,SPEED,REFLEXES&AMP,REACTIONS,COORDINATION,ENDURANCE,EXPERT MARKSMAN,SUBCONSCIOUS TELEPATHIC BLOCKING
El Águila	1979	1970	Electrical generation,Skilled fencer,Excellent acrobat	3		0	https://en.wikipedia.org/wiki/El_Aguila	https://None	N/A	EL ÁGUILA		ELECTRICAL GENERATION,SKILLED FENCER,EXCELLENT ACROBAT
Ahura	1988	1980	"Initially, hypersonic scream,Later, his power evolves into a psionic ""evil eye"" which can cause death, but this is largely dormant,Telepathy, limited mind control"	3		0	https://en.wikipedia.org/wiki/Ahura_(comics)	https://None	N/A	AHURA		"INITIALLY, HYPERSONIC SCREAM,LATER, HIS POWER EVOLVES INTO A PSIONIC ""EVIL EYE"" WHICH CAN CAUSE DEATH, BUT THIS IS LARGELY DORMANT,TELEPATHY, LIMITED MIND CONTROL"
Air-Walker	1972	1970	Power Cosmic	1		0	https://en.wikipedia.org/wiki/Air-Walker	https://upload.wikimedia.org/wikipedia/en/thumb/3/34/Thor-305.jpg/250px-Thor-305.jpg	./img.marvel_chars/8.jpg	AIR-WALKER		POWER COSMIC
Ajak	1976	1970	Superhuman speed,strength,durability,Accelerated  healing factor,Energy blasts,Flight,Teleportation	7		0	https://en.wikipedia.org/wiki/Ajak	https://upload.wikimedia.org/wikipedia/en/thumb/c/cb/Ajak.jpg/250px-Ajak.jpg	./img.marvel_chars/9.jpg	AJAK		SUPERHUMAN SPEED,STRENGTH,DURABILITY,ACCELERATED  HEALING FACTOR,ENERGY BLASTS,FLIGHT,TELEPORTATION
Ajax	1991	1990	Accelerated healing factor,Extended lifespan,Via exoskeleton battle-suit :,Superhuman strength,durability,reflexes	6		0	https://en.wikipedia.org/wiki/Ajax_(comics)	https://upload.wikimedia.org/wikipedia/en/thumb/8/8e/Ajazpantheon.jpg/200px-Ajazpantheon.jpg	./img.marvel_chars/10.jpg	AJAX		ACCELERATED HEALING FACTOR,EXTENDED LIFESPAN,VIA EXOSKELETON BATTLE-SUIT :,SUPERHUMAN STRENGTH,DURABILITY,REFLEXES
Akasha	1997	1990	can tap into vast cosmic energies granting her much power,abilities	2		0	https://en.wikipedia.org/wiki/Akasha_(comics)	https://None	N/A	AKASHA		CAN TAP INTO VAST COSMIC ENERGIES GRANTING HER MUCH POWER,ABILITIES
Albert	1991	1990	Superhuman strength,computational,analytical,creative reasoning abilities	4	Elsie-Dee	1	https://en.wikipedia.org/wiki/Albert_(comics)	https://upload.wikimedia.org/wikipedia/en/thumb/d/d8/Albert_and_elsie.jpg/200px-Albert_and_elsie.jpg	./img.marvel_chars/12.jpg	ALBERT	ELSIE-DEE	SUPERHUMAN STRENGTH,COMPUTATIONAL,ANALYTICAL,CREATIVE REASONING ABILITIES
Alpha	2012	2010	Exposure to Parker Particles, able to protract energy blasts, super strength, super speed, telekinesis, superhuman senses, matter manipulation, force fields, and flight	1		0	https://en.wikipedia.org/wiki/Alpha_(Marvel_Comics)	https://upload.wikimedia.org/wikipedia/en/thumb/8/8e/Alpha-Marvel.jpg/250px-Alpha-Marvel.jpg	./img.marvel_chars/13.jpg	ALPHA		EXPOSURE TO PARKER PARTICLES, ABLE TO PROTRACT ENERGY BLASTS, SUPER STRENGTH, SUPER SPEED, TELEKINESIS, SUPERHUMAN SENSES, MATTER MANIPULATION, FORCE FIELDS, AND FLIGHT
Alpha the Ultimate Mutant	1974	1970	Force field  generation,Teleportation,Telekinesis,Telepathy,Continuously increasing intellect	5		0	https://en.wikipedia.org/wiki/Alpha_the_Ultimate_Mutant	https://upload.wikimedia.org/wikipedia/en/thumb/0/0a/AlphaMutant.jpg/250px-AlphaMutant.jpg	./img.marvel_chars/14.jpg	ALPHA THE ULTIMATE MUTANT		FORCE FIELD  GENERATION,TELEPORTATION,TELEKINESIS,TELEPATHY,CONTINUOUSLY INCREASING INTELLECT
American Ace	1939	1930		0		0	https://en.wikipedia.org/wiki/American_Ace	https://None	N/A	AMERICAN ACE		
American Dream	1999	1990	Olympic level athlete,Skilled martial artist,Peak physical condition,Superb aim,Carries an indestructible shield,Use of disc weapons	6		0	https://en.wikipedia.org/wiki/American_Dream_(comics)	https://upload.wikimedia.org/wikipedia/en/thumb/5/50/American_Dream_%28Shannon_Carter%29.jpg/200px-American_Dream_%28Shannon_Carter%29.jpg	./img.marvel_chars/16.jpg	AMERICAN DREAM		OLYMPIC LEVEL ATHLETE,SKILLED MARTIAL ARTIST,PEAK PHYSICAL CONDITION,SUPERB AIM,CARRIES AN INDESTRUCTIBLE SHIELD,USE OF DISC WEAPONS
American Eagle	1981	1980	Superhuman strength,speed,agility,stamina,sturdiness,Enhanced senses,Carries a crossbow which fires special bolts	7		0	https://en.wikipedia.org/wiki/American_Eagle_(Marvel_Comics)	https://upload.wikimedia.org/wikipedia/en/thumb/b/b9/NewEagle.jpg/250px-NewEagle.jpg	./img.marvel_chars/17.jpg	AMERICAN EAGLE		SUPERHUMAN STRENGTH,SPEED,AGILITY,STAMINA,STURDINESS,ENHANCED SENSES,CARRIES A CROSSBOW WHICH FIRES SPECIAL BOLTS
Americop	1994	1990	Trained  marksman,martial artist	2		0	https://en.wikipedia.org/wiki/Americop	https://upload.wikimedia.org/wikipedia/en/thumb/b/bf/Americop.jpg/250px-Americop.jpg	./img.marvel_chars/18.jpg	AMERICOP		TRAINED  MARKSMAN,MARTIAL ARTIST
Aminedi	2020	2020	can transform himself into air particles,superhuman speed	2		0	https://en.wikipedia.org/wiki/Aminedi	https://upload.wikimedia.org/wikipedia/en/b/bc/Aminedi_001.jpg	./img.marvel_chars/19.jpg	AMINEDI		CAN TRANSFORM HIMSELF INTO AIR PARTICLES,SUPERHUMAN SPEED
Marvel Comics Alternate Universes	2020	2020		0		0	https://en.wikipedia.org/wiki/Amphibian_(comics)	https://None	N/A	MARVEL COMICS ALTERNATE UNIVERSES		
Anachronism	2012	2010		0		0	https://en.wikipedia.org/wiki/Anachronism_(comics)	https://None	N/A	ANACHRONISM		
Andromeda	1985	1980	Superhuman strength,durability,Ability to breathe underwater	3	Namor the Sub-Mariner	1	https://en.wikipedia.org/wiki/Andromeda_(Marvel_Comics)	https://upload.wikimedia.org/wikipedia/en/2/2d/Andromeda616.jpg	./img.marvel_chars/22.jpg	ANDROMEDA	NAMOR THE SUB-MARINER	SUPERHUMAN STRENGTH,DURABILITY,ABILITY TO BREATHE UNDERWATER
The Angel	1939	1930	Excellent acrobat,hand to hand combatant,Accomplished disguise artist,occult scholar,pilot,Skilled detective,Flight via mystic cape,Use of knives,other weapons	9		0	https://en.wikipedia.org/wiki/Angel_(Thomas_Halloway)	https://upload.wikimedia.org/wikipedia/en/thumb/9/9b/Angel_golden_age.jpg/210px-Angel_golden_age.jpg	./img.marvel_chars/23.jpg	THE ANGEL		EXCELLENT ACROBAT,HAND TO HAND COMBATANT,ACCOMPLISHED DISGUISE ARTIST,OCCULT SCHOLAR,PILOT,SKILLED DETECTIVE,FLIGHT VIA MYSTIC CAPE,USE OF KNIVES,OTHER WEAPONS
