PPN	creator	dataProvider	date	format	identifier	isShownAt	issued	object	provider	publisher	rights	source	spatial	subject	title	type
PPN817497838	Moller, Gertraut  Perbandt, Otto Wilhelm  Rauschke, Christoph Alexander  Kreytz, Georg Friedrich  Wallenrodt, Christoph	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	1702	image/jpeg	http://resolver.staatsbibliothek-berlin.de/SBB0001906100000000	http://resolver.staatsbibliothek-berlin.de/SBB0001906100000000	1702	http://digital.staatsbibliothek-berlin.de/europeana/PPN817497838/00000002.tif	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	Friedrich Reusners Erben	Open Access	Moller, Gertraut  Perbandt, Otto Wilhelm  Rauschke, Christoph Alexander  Kreytz, Georg Friedrich  Wallenrodt, Christoph: Gehorsamste Aufwartung/ Welche der Hoch-Erleuchten Königlichen Preußischen Regierung/ Denen Hoch-Woll-Gebohrnen Herren/ Herrn Otto Wilhelm von Perbandt/ Land-Hoff-Meistern ... Herrn Christoff Alexander von Rauschken/ Ober-Burg-Graffen/ und Ober-Appellations-Praesidenten ... Herrn Georg Friedrich von Kreytzen/ Cantzlern und Lehns-Praesidenten ... Herrn Christoff von Wallenrodt/ Ober-Marschallen ... Ihren Gnädigen Herren/ Bey Antritt diesen 1702ten Jahres/ Demüthig niederleget Dero Hoch-Erleuchten Excell. Excell. Excell. Excell. Unterthänige Dienerin Gertraut Mollerin. Königsberg  Berlin 1702	Königsberg	Historische Drucke	Gehorsamste Aufwartung/ Welche der Hoch-Erleuchten Königlichen Preußischen Regierung/ Denen Hoch-Woll-Gebohrnen Herren/ Herrn Otto Wilhelm von Perbandt/ Land-Hoff-Meistern ... Herrn Christoff Alexander von Rauschken/ Ober-Burg-Graffen/ und Ober-Appellations-Praesidenten ... Herrn Georg Friedrich von Kreytzen/ Cantzlern und Lehns-Praesidenten ... Herrn Christoff von Wallenrodt/ Ober-Marschallen ... Ihren Gnädigen Herren/ Bey Antritt diesen 1702ten Jahres/ Demüthig niederleget Dero Hoch-Erleuchten Excell. Excell. Excell. Excell. Unterthänige Dienerin Gertraut Mollerin	Monograph
PPN817563121	Moller, Gertraut  Schmidt, Adelgunda  Schmidt, Gottfried	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	1701	image/jpeg	http://resolver.staatsbibliothek-berlin.de/SBB0001906F00000000	http://resolver.staatsbibliothek-berlin.de/SBB0001906F00000000	1701	http://digital.staatsbibliothek-berlin.de/europeana/PPN817563121/00000001.tif	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	Reusner	Open Access	Moller, Gertraut  Schmidt, Adelgunda  Schmidt, Gottfried: Die mit dem Leidenden Jesu angetretene seelge Himmels-Reise/ Bey dem den 16den Febr. dieses 1701. Jahres unverhofftem/ und dahero Hochbetrauerlichem/ doch wolseeligem Ableiben/ Der HochEdlen/ Aller Ehr- und Tugendreichsten Frauen/ Frauen Adelgunda geb. Rohtin/ Des Weyland HochEdlen/ Vesten/ und Hochbenahmten Herrn/ Herrn Gottfried Schmidten/ Sr. Königl. Majestät in Preussen/ unsers allergnädigsten Königes/ und Churfürsten/ gewesenen Hochbestallten Hoff-Rahts/ wie auch Preuß. Ober- und Lehns-Secretarii, Nachgelassenen Frau Wittiben/ An dem tage ihrer Standtmäßigen Beerdigung/ welche den 4. Martii ermelten Jahres geschehen/ Denen Sämtlichen Vornehmen Kindern/ Herrn Schwieger-Söhnen/ und andern wehrtesten Anverwanten/ zu einiger Gemühts Beruhigung Aus verbundener Schuldigkeit einfältig vorgestellet. Königsberg  Berlin 1701	Königsberg	Historische Drucke	Die mit dem Leidenden Jesu angetretene seelge Himmels-Reise/ Bey dem den 16den Febr. dieses 1701. Jahres unverhofftem/ und dahero Hochbetrauerlichem/ doch wolseeligem Ableiben/ Der HochEdlen/ Aller Ehr- und Tugendreichsten Frauen/ Frauen Adelgunda geb. Rohtin/ Des Weyland HochEdlen/ Vesten/ und Hochbenahmten Herrn/ Herrn Gottfried Schmidten/ Sr. Königl. Majestät in Preussen/ unsers allergnädigsten Königes/ und Churfürsten/ gewesenen Hochbestallten Hoff-Rahts/ wie auch Preuß. Ober- und Lehns-Secretarii, Nachgelassenen Frau Wittiben/ An dem tage ihrer Standtmäßigen Beerdigung/ welche den 4. Martii ermelten Jahres geschehen/ Denen Sämtlichen Vornehmen Kindern/ Herrn Schwieger-Söhnen/ und andern wehrtesten Anverwanten/ zu einiger Gemühts Beruhigung Aus verbundener Schuldigkeit einfältig vorgestellet	Monograph
PPN834633701	Götze, Georg Heinrich  Lange, Andreas	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	1713	image/jpeg	http://resolver.staatsbibliothek-berlin.de/SBB0001B05B00000000	http://resolver.staatsbibliothek-berlin.de/SBB0001B05B00000000	1713	http://digital.staatsbibliothek-berlin.de/europeana/PPN834633701/00000001.tif	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	Schmalhertz	Open Access	Götze, Georg Heinrich  Lange, Andreas: Das Verlangen derer Gläubigen nach einem Frommen Leben, un[d] heiligem Absterben, Wurde Bey dem solennen Leichen-Begängnisse Eines ... Lübeckischen Rechts-Gelehrten, Des ... Hn. Andreä Langens, Beyder Rechten Vornehmen Doctoris ... Welcher Den 13. Octobr. dieses 1713. Jahrs, Im 34. Jahr Seines ... Wandels ... entschlaffen, Und Den 24. gemeldten Monats ... zu Seiner Ruhe-Kammer gebracht wurde ... In einer auffgesetzten Leichen-Betrachtung angewiesen. Lubeck  Berlin 1713	Lubeck	Historische Drucke	Das Verlangen derer Gläubigen nach einem Frommen Leben, un[d] heiligem Absterben, Wurde Bey dem solennen Leichen-Begängnisse Eines ... Lübeckischen Rechts-Gelehrten, Des ... Hn. Andreä Langens, Beyder Rechten Vornehmen Doctoris ... Welcher Den 13. Octobr. dieses 1713. Jahrs, Im 34. Jahr Seines ... Wandels ... entschlaffen, Und Den 24. gemeldten Monats ... zu Seiner Ruhe-Kammer gebracht wurde ... In einer auffgesetzten Leichen-Betrachtung angewiesen	Monograph
PPN840973438	Fischer, Fridericus Christophus Jonathan  Herzberg, Ewaldus Fidericus	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	1780	image/jpeg	http://resolver.staatsbibliothek-berlin.de/SBB0001BC5800000000	http://resolver.staatsbibliothek-berlin.de/SBB0001BC5800000000	1780	http://digital.staatsbibliothek-berlin.de/europeana/PPN840973438/00000005.tif	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	Svikertus	Open Access	Fischer, Fridericus Christophus Jonathan  Herzberg, Ewaldus Fidericus: De Prima Expeditione Attilae Regis Hvnnorvm In Gallias Ac De Rebvs Gestis Waltharii Aqvitanorvm Principis Carmen Epicvm Saecvli VI.  Ex Codice Manvscripto Membranaceo Optimae Notae Svmma Fide Descriptvm, Nvnc Primvm In Lvcem Prodvctvm, Et Omni Antiqvitatvm Generem Inprimis Vero Monvmentis Coaevis. Lipsiae  Berlin 1780	Lipsiae	Historische Drucke	De Prima Expeditione Attilae Regis Hvnnorvm In Gallias Ac De Rebvs Gestis Waltharii Aqvitanorvm Principis Carmen Epicvm Saecvli VI.	Monograph
PPN840973888	Fischer, Fridericus Christophorus Jonathan	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	1792	image/jpeg	http://resolver.staatsbibliothek-berlin.de/SBB0001BC5900000000	http://resolver.staatsbibliothek-berlin.de/SBB0001BC5900000000	1792	http://digital.staatsbibliothek-berlin.de/europeana/PPN840973888/00000005.tif	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	Schwickert	Open Access	Fischer, Fridericus Christophorus Jonathan: De Prima Expeditione Attilae Regis Hunnorum In Gallias Ac De Rebus Gestis Waltharii Aqvitanorvm Principis Carminis Epici Saecvli VI.  Continuatio Ex Manvscripto Membranaceo Optimae Notae Svmma Fide Descriptvm, Variantibvs Lectionibvs Et Omni Antiqvitatvm Genere, Imprimis Vero Monvmentis Coaevis. Lipsiae  Berlin 1792	Lipsiae	Historische Drucke	De Prima Expeditione Attilae Regis Hunnorum In Gallias Ac De Rebus Gestis Waltharii Aqvitanorvm Principis Carminis Epici Saecvli VI.	Monograph
PPN815792484	Möller, Gertraut  Bartsch, Heinrich	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	1702	image/jpeg	http://resolver.staatsbibliothek-berlin.de/SBB00018D0200000000	http://resolver.staatsbibliothek-berlin.de/SBB00018D0200000000	1702	http://digital.staatsbibliothek-berlin.de/europeana/PPN815792484/00000001.tif	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	Friedrich Reusners Erben	Open Access	Möller, Gertraut  Bartsch, Heinrich: Unverweßliches Ehren-Gedächtnis/ Welches Dem HochEdlen/ Hochweisen/ und Hochbenahmten Herrn/ Herrn Heinrich Bartschen/ Hochansehnlichen und Hochmeritirten Vice-Bürger-Meistern/ Scholarchen/ und Ober-Kirchen-Vatern/ der Löbl. Königl. Alten-Stadt Königsberg/ Als Derselbe Den 6. Maji dieses 1702. Jahres im 76. Jahr seines rühmlich geführten Wandels diese Welt geseegnet/ Und dessen entseelter Cörper den 16. ermeldeten Monats/ Standmäßig und ansehnlich seiner Ruhgrufft anvertrauet worden/ Zu einiger Gemühts-Beruhigung Der Hochbekümmerten Frau Wittwen/ (welche Gott in ihrer Schwachheit kräfftiglich stärcken wolle) Hochwehrtesten Kinder/ und sämtlichen Vornehmen Angehörigen/ wie auch zu Bezeugung ihrer Verbundenheit gegen Dero vornehme Häuser Wollmeinend auffgeführet. Königsberg  Berlin 1702	Königsberg	Historische Drucke	Unverweßliches Ehren-Gedächtnis/ Welches Dem HochEdlen/ Hochweisen/ und Hochbenahmten Herrn/ Herrn Heinrich Bartschen/ Hochansehnlichen und Hochmeritirten Vice-Bürger-Meistern/ Scholarchen/ und Ober-Kirchen-Vatern/ der Löbl. Königl. Alten-Stadt Königsberg/ Als Derselbe Den 6. Maji dieses 1702. Jahres im 76. Jahr seines rühmlich geführten Wandels diese Welt geseegnet/ Und dessen entseelter Cörper den 16. ermeldeten Monats/ Standmäßig und ansehnlich seiner Ruhgrufft anvertrauet worden/ Zu einiger Gemühts-Beruhigung Der Hochbekümmerten Frau Wittwen/ (welche Gott in ihrer Schwachheit kräfftiglich stärcken wolle) Hochwehrtesten Kinder/ und sämtlichen Vornehmen Angehörigen/ wie auch zu Bezeugung ihrer Verbundenheit gegen Dero vornehme Häuser Wollmeinend auffgeführet	Monograph
PPN815423373	Möller, Gertrud  Funck, Georg	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	1704	image/jpeg	http://resolver.staatsbibliothek-berlin.de/SBB00018C1500000000	http://resolver.staatsbibliothek-berlin.de/SBB00018C1500000000	1704	http://digital.staatsbibliothek-berlin.de/europeana/PPN815423373/00000001.tif	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	Reusner	Open Access	Möller, Gertrud  Funck, Georg: Der unter der Todes-Asche verscharrete/ doch zur Sonnengleichen Flamme wieder aufflebende Funcke/ Bey Wolseeligem doch gantz traurigem Ableiben/ Des WolEhrwürdigen/ GroßAchtbahren/ Hoch- und Wolgelahrten Herrn/ Herrn M. Georg Funcken/ Treufleißigen/ und Wolverdienten Diaconi, und Seel-Sorgern der Löblichen Kneiphöfischen Gemeine/ Als Derselbe den 7. Martii dieses 1704ten Jahres/ (nachdem der Wolseelige Mann den 5. dito am neugeordneten Buß-Tage eine erbauliche Predigt gehalten) die Zeitligkeit mit der Ewigkeit verwechselt/ Und dessen entseelter Cörper den 18. Mart. unter Vornehmer Leich-Begleitung/ in der Kneiphöffschen Kirchen Seiner Ruhe-Kammer anvertrauet worden/ Aus hertzlichem Mitleiden Der Höchstbetrübten Frau Wittwen/ Frau Mutter/ Herrn Schwieger-Vatern/ lieben Kindern/ und andern Vornehmen Anverwandten/ Zu einigem Trost Zwar mit selbst betrübter Feder einfältig vorgestellet. Königsberg  Berlin 1704	Königsberg	Historische Drucke	Der unter der Todes-Asche verscharrete/ doch zur Sonnengleichen Flamme wieder aufflebende Funcke/ Bey Wolseeligem doch gantz traurigem Ableiben/ Des WolEhrwürdigen/ GroßAchtbahren/ Hoch- und Wolgelahrten Herrn/ Herrn M. Georg Funcken/ Treufleißigen/ und Wolverdienten Diaconi, und Seel-Sorgern der Löblichen Kneiphöfischen Gemeine/ Als Derselbe den 7. Martii dieses 1704ten Jahres/ (nachdem der Wolseelige Mann den 5. dito am neugeordneten Buß-Tage eine erbauliche Predigt gehalten) die Zeitligkeit mit der Ewigkeit verwechselt/ Und dessen entseelter Cörper den 18. Mart. unter Vornehmer Leich-Begleitung/ in der Kneiphöffschen Kirchen Seiner Ruhe-Kammer anvertrauet worden/ Aus hertzlichem Mitleiden Der Höchstbetrübten Frau Wittwen/ Frau Mutter/ Herrn Schwieger-Vatern/ lieben Kindern/ und andern Vornehmen Anverwandten/ Zu einigem Trost Zwar mit selbst betrübter Feder einfältig vorgestellet	Monograph
PPN834626039	Berckenthin, Christian August  Witzendorff, Dietrich Wilhelm	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	1712	image/jpeg	http://resolver.staatsbibliothek-berlin.de/SBB0001B05700000000	http://resolver.staatsbibliothek-berlin.de/SBB0001B05700000000	1712	http://digital.staatsbibliothek-berlin.de/europeana/PPN834626039/00000001.tif	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	Struck	Open Access	Berckenthin, Christian August  Witzendorff, Dietrich Wilhelm: Trauer-Rede Auff Den weyland Hochwürdigen, Hoch-Wohlgebohrnen Herrn, Hn. Dieterich Wilhelm von Witzendorff, Sr. Regierenden Hoch-Fürstl. Durchl. zu Schleßwig-Holstein ... Geheimbten Rath, ... Dom-Dechanten des hohen Stiffts Lübeck, ... Auff Zecher und Seedorff Erb-Herrn  Alß Dessen am 2. Augusti, 1712. Hochseelig-verblichener Cörper den 11. Octobr. darauff ... beygesetzet werden solte, Vorhero Im Trauer-Hause gehalten. Lubeck  Berlin 1712	Lubeck	Historische Drucke	Trauer-Rede Auff Den weyland Hochwürdigen, Hoch-Wohlgebohrnen Herrn, Hn. Dieterich Wilhelm von Witzendorff, Sr. Regierenden Hoch-Fürstl. Durchl. zu Schleßwig-Holstein ... Geheimbten Rath, ... Dom-Dechanten des hohen Stiffts Lübeck, ... Auff Zecher und Seedorff Erb-Herrn	Monograph
PPN815777582	Möller, Gertraut	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	1702	image/jpeg	http://resolver.staatsbibliothek-berlin.de/SBB00018CF100000000	http://resolver.staatsbibliothek-berlin.de/SBB00018CF100000000	1702	http://digital.staatsbibliothek-berlin.de/europeana/PPN815777582/00000001.tif	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	Friderich Reusners Erben	Open Access	Möller, Gertraut: Eine Von Himmel geschöpfte Hand Wasser/ Welche Bey dem Hoch-Heiligen Geburts-Tage/ Des Aller-Durchlauchtigsten/ Großmächtigsten Fürsten und Herrn/ Herrn Friderichs/ Königes in Preussen/ Marggrafen zu Brandenburg/ des Heil. Röm. Reichs Ertz-Cämmerern und Churfürsten/ Souverainen Printzen von Oranien ... Meines Allergnädigsten Königes/ und Herrn/ Zu Dero Königl. Majestät Füssen Den 11. Julii dieses 1702. Jahres/ Demüthigst ausgegossen Dero Majestät Aller-unterthänigste Magd Gertraut Möllerin. Königsberg  Berlin 1702	Königsberg	Historische Drucke	Eine Von Himmel geschöpfte Hand Wasser/ Welche Bey dem Hoch-Heiligen Geburts-Tage/ Des Aller-Durchlauchtigsten/ Großmächtigsten Fürsten und Herrn/ Herrn Friderichs/ Königes in Preussen/ Marggrafen zu Brandenburg/ des Heil. Röm. Reichs Ertz-Cämmerern und Churfürsten/ Souverainen Printzen von Oranien ... Meines Allergnädigsten Königes/ und Herrn/ Zu Dero Königl. Majestät Füssen Den 11. Julii dieses 1702. Jahres/ Demüthigst ausgegossen Dero Majestät Aller-unterthänigste Magd Gertraut Möllerin	Monograph
PPN815573480	Möller, Gertraut  Erasmi, Maria	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	1704	image/jpeg	http://resolver.staatsbibliothek-berlin.de/SBB00018C3000000000	http://resolver.staatsbibliothek-berlin.de/SBB00018C3000000000	1704	http://digital.staatsbibliothek-berlin.de/europeana/PPN815573480/00000001.tif	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	Friedrich Reusners Erben	Open Access	Möller, Gertraut  Erasmi, Maria: Die im Leben und Tode wolbelohnte Gottesfurcht/ Unter der Person Der Wol-Edlen und Tugenreichen Frauen/ Frauen Maria gebohrner Rosin/ Des weyland Wol-Ehrwürdigen/ Groß-Achtbahren und Wolgelahrten Herrn/ Herrn Daniel Erasmi, Wolverdienten Archi-Diaconi im Löbenicht nachgelassenen Frau Wittwen/ Als Dieselbe im 73sten Jahr ihres rühmlichen Alters den 29. Januarii dieses 1704ten Heyl Jahres seelig eingeschlaffen/ und derer entseelter Cörper den 5. Februarii ermeldten Jahres in der Löbenichtschen Kirchen/ mit vornehmen und Christlichen Ceremonien, seiner Ruh-Grufft eingesencket worden/ der wolseeligen Frauen zu wolverdienten Ehren/ und denen Hoch-Adelichen Herren Söhnen und vornehmen Anverwandten/ zu einiger Gemühts Beruhigung aus verbundener Schuldigkeit aufgeführet. Königsberg  Berlin 1704	Königsberg	Historische Drucke	Die im Leben und Tode wolbelohnte Gottesfurcht/ Unter der Person Der Wol-Edlen und Tugenreichen Frauen/ Frauen Maria gebohrner Rosin/ Des weyland Wol-Ehrwürdigen/ Groß-Achtbahren und Wolgelahrten Herrn/ Herrn Daniel Erasmi, Wolverdienten Archi-Diaconi im Löbenicht nachgelassenen Frau Wittwen/ Als Dieselbe im 73sten Jahr ihres rühmlichen Alters den 29. Januarii dieses 1704ten Heyl Jahres seelig eingeschlaffen/ und derer entseelter Cörper den 5. Februarii ermeldten Jahres in der Löbenichtschen Kirchen/ mit vornehmen und Christlichen Ceremonien, seiner Ruh-Grufft eingesencket worden/ der wolseeligen Frauen zu wolverdienten Ehren/ und denen Hoch-Adelichen Herren Söhnen und vornehmen Anverwandten/ zu einiger Gemühts Beruhigung aus verbundener Schuldigkeit aufgeführet	Monograph
